"Date","Price","Open","High","Low","Vol.","Change %"
"13/12/2024","33.02","33.25","33.28","32.85","371.01K","-1.02%"
"12/12/2024","33.36","33.38","33.64","33.34","365.82K","-1.10%"
"11/12/2024","33.73","33.74","33.81","33.51","339.45K","1.02%"
"10/12/2024","33.39","33.75","33.95","33.34","418.51K","-1.24%"
"09/12/2024","33.81","34.06","34.19","33.68","548.02K","-1.08%"
"06/12/2024","34.18","34.21","34.26","34.08","538.10K","0.83%"
"05/12/2024","33.90","34.10","34.21","33.90","575.39K","-0.73%"
"04/12/2024","34.15","33.70","34.17","33.69","741.61K","1.70%"
"03/12/2024","33.58","33.46","33.60","33.37","280.85K","0.54%"
"02/12/2024","33.40","33.47","33.49","33.29","449.99K","0.09%"
"29/11/2024","33.37","33.05","33.40","33.03","234.15K","1.31%"
"27/11/2024","32.94","33.05","33.15","32.66","402.10K","-0.99%"
"26/11/2024","33.27","33.33","33.41","33.16","296.75K","-0.42%"
"25/11/2024","33.41","33.78","33.90","33.28","487.43K","0.00%"
"22/11/2024","33.41","33.11","33.44","33.07","321.13K","0.66%"
"21/11/2024","33.19","32.89","33.31","32.70","622.96K","1.44%"
"20/11/2024","32.72","32.82","32.89","32.36","813.75K","-0.30%"
"19/11/2024","32.82","32.24","32.86","32.07","404.09K","1.86%"
"18/11/2024","32.22","32.11","32.35","31.96","275.12K","0.34%"
"15/11/2024","32.11","32.36","32.48","32.00","399.42K","-1.47%"
"14/11/2024","32.59","33.12","33.12","32.54","368.76K","-1.06%"
"13/11/2024","32.94","33.24","33.24","32.91","438.34K","-1.02%"
"12/11/2024","33.28","33.42","33.57","33.03","931.41K","-1.57%"
"11/11/2024","33.81","33.80","33.97","33.66","537.99K","0.24%"
"08/11/2024","33.73","33.50","33.74","33.45","290.45K","0.57%"
"07/11/2024","33.54","33.20","33.56","33.17","512.63K","0.84%"
"06/11/2024","33.26","33.19","33.31","32.83","747.58K","1.34%"
"05/11/2024","32.82","32.27","32.85","32.27","428.20K","2.21%"
"04/11/2024","32.11","32.08","32.38","32.03","247.29K","0.34%"
"01/11/2024","32.00","31.90","32.20","31.86","242.14K","0.76%"
"31/10/2024","31.76","32.33","32.37","31.70","374.96K","-1.91%"
"30/10/2024","32.38","32.34","32.65","32.31","329.38K","-0.06%"
"29/10/2024","32.40","32.17","32.45","31.95","544.75K","0.87%"
"28/10/2024","32.12","32.06","32.17","32.04","344.01K","1.55%"
