"Date","Price","Open","High","Low","Vol.","Change %"
"16/12/2024","1.7171","1.8078","1.8243","1.6899","42.56M","-5.01%"
"15/12/2024","1.8077","1.7311","1.8178","1.6681","35.91M","4.43%"
"14/12/2024","1.7311","1.8046","1.8226","1.6829","41.45M","-3.93%"
"13/12/2024","1.8020","1.7860","1.8090","1.7407","39.46M","0.87%"
"12/12/2024","1.7863","1.8195","1.8977","1.7602","62.88M","-1.82%"
"11/12/2024","1.8195","1.6818","1.8326","1.6282","62.13M","8.18%"
"10/12/2024","1.6818","1.7084","1.7992","1.5703","119.90M","-1.85%"
"09/12/2024","1.7136","2.0544","2.0547","1.5685","145.14M","-16.60%"
"08/12/2024","2.0546","2.0649","2.0925","2.0048","41.41M","-0.51%"
"07/12/2024","2.0651","2.1368","2.1408","2.0613","47.40M","-3.22%"
"06/12/2024","2.1337","1.9535","2.1952","1.9202","133.50M","9.23%"
"05/12/2024","1.9535","1.8626","2.0815","1.7856","147.52M","4.89%"
"04/12/2024","1.8624","1.9131","2.0222","1.8400","114.73M","-2.66%"
"03/12/2024","1.9132","1.9449","1.9739","1.7780","120.45M","-1.63%"
"02/12/2024","1.9449","1.8418","1.9520","1.7093","124.77M","5.68%"
"01/12/2024","1.8404","1.9125","1.9136","1.7904","80.94M","-3.77%"
"30/11/2024","1.9125","1.7252","1.9532","1.6983","148.90M","10.86%"
"29/11/2024","1.7251","1.6773","1.7270","1.5919","121.91M","2.88%"
"28/11/2024","1.6769","1.5073","1.7483","1.4501","176.00M","11.25%"
"27/11/2024","1.5073","1.3780","1.5128","1.3547","94.92M","9.39%"
"26/11/2024","1.3780","1.4290","1.4709","1.3121","104.81M","-3.57%"
"25/11/2024","1.4289","1.5295","1.5705","1.3973","129.48M","-6.51%"
"24/11/2024","1.5284","1.4252","1.5704","1.3760","182.98M","7.25%"
"23/11/2024","1.4251","1.2840","1.4566","1.2768","170.09M","10.98%"
"22/11/2024","1.2841","1.2743","1.2944","1.2182","71.22M","0.78%"
"21/11/2024","1.2742","1.2373","1.3034","1.1798","84.63M","3.00%"
"20/11/2024","1.2371","1.2926","1.3159","1.2119","68.68M","-4.30%"
"19/11/2024","1.2927","1.3603","1.3645","1.2694","52.88M","-4.97%"
"18/11/2024","1.3602","1.2586","1.3978","1.2529","108.19M","8.20%"
"17/11/2024","1.2572","1.3208","1.3299","1.2358","58.08M","-4.84%"
"16/11/2024","1.3211","1.2838","1.3513","1.2560","81.49M","2.90%"
"15/11/2024","1.2838","1.2292","1.2979","1.1910","63.86M","4.43%"
"14/11/2024","1.2293","1.2662","1.3661","1.2151","102.13M","-2.91%"
"13/11/2024","1.2662","1.3760","1.3905","1.2126","212.68M","-7.98%"
"12/11/2024","1.3761","1.5817","1.6398","1.3599","180.19M","-13.00%"
"11/11/2024","1.5817","1.4423","1.5984","1.4341","110.40M","9.67%"
"10/11/2024","1.4423","1.4653","1.5646","1.3996","114.66M","-1.57%"
"09/11/2024","1.4653","1.3963","1.4703","1.3666","43.57M","4.88%"
"08/11/2024","1.3971","1.4102","1.4342","1.3421","41.46M","-0.93%"
"07/11/2024","1.4101","1.4125","1.4500","1.3703","48.81M","-0.17%"
"06/11/2024","1.4125","1.2550","1.4333","1.2550","99.62M","12.55%"
"05/11/2024","1.2550","1.1308","1.2691","1.1206","48.19M","10.96%"
"04/11/2024","1.1311","1.1430","1.1630","1.0917","40.66M","-1.04%"
"03/11/2024","1.1430","1.1888","1.1941","1.0917","52.09M","-3.87%"
"02/11/2024","1.1890","1.2308","1.2423","1.1677","24.27M","-3.40%"
"01/11/2024","1.2309","1.2950","1.3167","1.2136","43.92M","-4.95%"
"31/10/2024","1.2950","1.2979","1.3302","1.2464","56.34M","-0.24%"
"30/10/2024","1.2981","1.3388","1.3410","1.2766","39.44M","-3.03%"
"29/10/2024","1.3387","1.2797","1.3559","1.2720","45.28M","4.62%"
"28/10/2024","1.2795","1.2740","1.2920","1.1858","35.74M","0.43%"
"27/10/2024","1.2741","1.2350","1.2871","1.2238","18.92M","3.16%"
"26/10/2024","1.2350","1.2085","1.2498","1.1836","30.92M","2.20%"
"25/10/2024","1.2084","1.3429","1.3469","1.1260","57.97M","-10.00%"
"24/10/2024","1.3427","1.3244","1.3911","1.3146","34.02M","1.38%"
"23/10/2024","1.3244","1.3560","1.3601","1.2801","28.85M","-2.25%"
"22/10/2024","1.3549","1.3855","1.4110","1.3358","28.36M","-2.21%"
"21/10/2024","1.3855","1.4631","1.4760","1.3696","33.34M","-5.31%"
"20/10/2024","1.4631","1.4051","1.4680","1.3681","34.00M","4.13%"
"19/10/2024","1.4051","1.4319","1.4489","1.3883","20.82M","-1.86%"
"18/10/2024","1.4318","1.3601","1.4321","1.3530","31.68M","5.29%"
"17/10/2024","1.3598","1.4277","1.4420","1.3412","39.00M","-4.71%"
"16/10/2024","1.4270","1.4651","1.4762","1.4079","40.41M","-2.60%"
"15/10/2024","1.4651","1.5162","1.5283","1.4177","80.70M","-3.36%"
"14/10/2024","1.5160","1.4190","1.5282","1.4007","71.91M","6.84%"
"13/10/2024","1.4190","1.4763","1.4902","1.3835","40.67M","-3.99%"
"12/10/2024","1.4779","1.4120","1.5020","1.3977","46.42M","4.67%"
"11/10/2024","1.4120","1.3187","1.4278","1.3084","50.01M","7.07%"
"10/10/2024","1.3187","1.3427","1.3677","1.2666","55.71M","-1.78%"
"09/10/2024","1.3427","1.4228","1.4512","1.3231","55.65M","-5.63%"
"08/10/2024","1.4228","1.4698","1.5073","1.4078","54.14M","-3.22%"
"07/10/2024","1.4701","1.4730","1.5584","1.4609","82.22M","-0.20%"
"06/10/2024","1.4730","1.4051","1.4738","1.3761","41.50M","4.84%"
"05/10/2024","1.4050","1.4679","1.4816","1.3629","43.78M","-4.27%"
"04/10/2024","1.4677","1.3701","1.4679","1.3564","67.93M","7.11%"
"03/10/2024","1.3703","1.4190","1.4629","1.3316","64.38M","-3.44%"
"02/10/2024","1.4190","1.4857","1.5471","1.3901","82.75M","-4.50%"
"01/10/2024","1.4859","1.5248","1.6708","1.4163","135.67M","-2.55%"
"30/09/2024","1.5248","1.6201","1.6450","1.5042","64.05M","-5.91%"
"29/09/2024","1.6206","1.5992","1.6411","1.5595","38.04M","1.34%"
"28/09/2024","1.5992","1.6783","1.6952","1.5668","50.75M","-4.74%"
"27/09/2024","1.6788","1.6289","1.7390","1.6142","74.17M","3.04%"
"26/09/2024","1.6292","1.6359","1.6972","1.6040","63.00M","-0.42%"
"25/09/2024","1.6360","1.7032","1.7391","1.6231","59.00M","-3.95%"
"24/09/2024","1.7034","1.6459","1.7349","1.6032","79.10M","3.46%"
"23/09/2024","1.6464","1.6121","1.7211","1.5591","88.82M","1.89%"
"22/09/2024","1.6158","1.6295","1.6433","1.5552","49.86M","-0.85%"
"21/09/2024","1.6296","1.6301","1.6760","1.5704","49.86M","-0.21%"
"20/09/2024","1.6330","1.4881","1.6451","1.4709","94.52M","9.75%"
"19/09/2024","1.4880","1.4523","1.5750","1.4478","111.48M","2.45%"
"18/09/2024","1.4523","1.3498","1.4523","1.3129","90.83M","7.62%"
"17/09/2024","1.3496","1.2638","1.3764","1.2370","69.33M","6.84%"
"16/09/2024","1.2631","1.3351","1.3361","1.2520","74.26M","-5.41%"
"15/09/2024","1.3353","1.4071","1.4324","1.3298","55.03M","-5.10%"
"14/09/2024","1.4072","1.3744","1.4123","1.3331","45.12M","2.32%"
"13/09/2024","1.3753","1.3812","1.3983","1.3039","90.74M","-0.43%"
"12/09/2024","1.3812","1.3519","1.4480","1.3478","131.65M","2.15%"
"11/09/2024","1.3521","1.3379","1.3741","1.2747","118.46M","1.06%"
"10/09/2024","1.3379","1.2036","1.3682","1.1938","100.11M","11.43%"
"09/09/2024","1.2007","1.1011","1.2309","1.0948","69.20M","9.06%"
"08/09/2024","1.1010","1.0655","1.1159","1.0581","32.58M","3.36%"
"07/09/2024","1.0652","1.0678","1.0891","1.0480","30.70M","-0.23%"
"06/09/2024","1.0677","1.0800","1.1113","1.0040","75.35M","-1.15%"
"05/09/2024","1.0801","1.1401","1.1500","1.0702","57.27M","-5.32%"
"04/09/2024","1.1407","1.1204","1.1834","1.0748","84.85M","1.85%"
"03/09/2024","1.1200","1.2340","1.2661","1.1164","68.38M","-9.22%"
"02/09/2024","1.2338","1.1404","1.2409","1.1051","82.61M","8.20%"
"01/09/2024","1.1403","1.1303","1.2188","1.1277","80.01M","0.81%"
"31/08/2024","1.1312","1.1940","1.2442","1.1263","66.60M","-5.25%"
"30/08/2024","1.1939","1.1251","1.1972","1.0469","88.10M","6.11%"
"29/08/2024","1.1252","1.1940","1.2473","1.1099","81.37M","-5.74%"
"28/08/2024","1.1937","1.2881","1.3480","1.1630","141.84M","-7.32%"
"27/08/2024","1.2880","1.3344","1.4736","1.2487","146.58M","-3.46%"
"26/08/2024","1.3342","1.3682","1.3909","1.2940","84.52M","-2.48%"
"25/08/2024","1.3681","1.2654","1.3980","1.1701","100.96M","8.05%"
"24/08/2024","1.2662","1.2052","1.3002","1.2020","78.78M","5.06%"
"23/08/2024","1.2052","1.0150","1.2191","1.0120","106.85M","18.75%"
"22/08/2024","1.0149","0.9612","1.0473","0.9457","83.60M","5.59%"
"21/08/2024","0.9612","0.8720","0.9751","0.8630","59.23M","10.23%"
"20/08/2024","0.8720","0.9131","0.9252","0.8658","57.21M","-4.51%"
"19/08/2024","0.9131","0.8153","0.9251","0.8040","60.97M","12.02%"
"18/08/2024","0.8152","0.8398","0.8481","0.8150","27.12M","-2.91%"
"17/08/2024","0.8396","0.8270","0.8513","0.8180","20.95M","1.51%"
"16/08/2024","0.8271","0.8278","0.8743","0.8079","43.47M","-0.10%"
"15/08/2024","0.8279","0.8753","0.8891","0.8140","47.82M","-5.39%"
"14/08/2024","0.8751","0.8781","0.9229","0.8571","48.31M","-0.46%"
"13/08/2024","0.8791","0.8641","0.8882","0.8271","37.54M","1.76%"
"12/08/2024","0.8640","0.8162","0.8959","0.8029","63.31M","5.90%"
"11/08/2024","0.8159","0.8988","0.9449","0.8136","59.19M","-9.23%"
"10/08/2024","0.8989","0.8520","0.9179","0.8337","38.35M","5.51%"
"09/08/2024","0.8519","0.8868","0.8986","0.8310","51.67M","-3.97%"
"08/08/2024","0.8871","0.8047","0.8914","0.7849","77.23M","10.26%"
"07/08/2024","0.8046","0.8478","0.9232","0.7949","65.26M","-5.11%"
"06/08/2024","0.8479","0.7884","0.9002","0.7884","78.28M","7.55%"
"05/08/2024","0.7884","0.9247","0.9318","0.7030","211.25M","-14.74%"
"04/08/2024","0.9247","0.9917","1.0170","0.8764","56.49M","-6.78%"
"03/08/2024","0.9919","1.0667","1.0852","0.9678","38.50M","-7.01%"
"02/08/2024","1.0667","1.1441","1.1521","1.0589","36.19M","-6.79%"
"01/08/2024","1.1445","1.1543","1.1593","1.0702","35.07M","-0.85%"
"31/07/2024","1.1543","1.1912","1.2113","1.1410","20.65M","-3.08%"
"30/07/2024","1.1910","1.2139","1.2473","1.1649","17.14M","-1.90%"
"29/07/2024","1.2141","1.2452","1.3181","1.2128","25.57M","-2.49%"
"28/07/2024","1.2452","1.2742","1.2742","1.2267","12.09M","-2.26%"
"27/07/2024","1.2739","1.2798","1.3473","1.2458","28.04M","-0.49%"
"26/07/2024","1.2803","1.1982","1.2901","1.1908","23.51M","6.86%"
"25/07/2024","1.1980","1.2122","1.2192","1.1509","30.06M","-1.16%"
"24/07/2024","1.2121","1.2900","1.3031","1.1999","28.03M","-6.03%"
"23/07/2024","1.2900","1.3698","1.3983","1.2759","36.33M","-5.85%"
